time,phase,queue_veh_N_Through,queue_pcu_N_Through,queue_veh_S_Through,queue_pcu_S_Through,queue_veh_E_Through,queue_pcu_E_Through,queue_veh_W_Through,queue_pcu_W_Through
300,NS_GREEN,5,7.0,3,3.5,1,1.0,1,1.5
301,NS_GREEN,4,4.0,3,3.0,1,1.0,1,1.5
302,NS_GREEN,3,3.0,3,3.5,1,1.0,1,1.5
303,NS_GREEN,2,2.0,2,2.5,1,1.0,1,1.5
304,NS_GREEN,1,1.0,1,1.5,1,1.0,1,1.5
305,NS_GREEN,0,0.0,0,0.0,2,2.0,1,1.5
306,NS_GREEN,0,0.0,0,0.0,2,2.0,2,2.5
307,NS_GREEN,0,0.0,0,0.0,2,2.0,2,2.5
308,NS_GREEN,0,0.0,0,0.0,2,2.0,2,2.5
309,NS_GREEN,0,0.0,0,0.0,2,2.0,2,2.5
310,NS_GREEN,0,0.0,0,0.0,3,5.0,2,2.5
311,NS_GREEN,0,0.0,0,0.0,3,5.0,2,2.5
312,NS_GREEN,0,0.0,0,0.0,3,5.0,2,2.5
313,NS_GREEN,0,0.0,0,0.0,3,5.0,2,2.5
314,NS_GREEN,0,0.0,0,0.0,4,6.0,2,2.5
315,NS_GREEN,0,0.0,0,0.0,4,6.0,2,2.5
316,NS_GREEN,0,0.0,0,0.0,4,6.0,2,2.5
317,NS_GREEN,1,1.0,0,0.0,4,6.0,2,2.5
318,NS_GREEN,1,1.0,0,0.0,4,6.0,2,2.5
319,NS_GREEN,0,0.0,0,0.0,4,6.0,2,2.5
320,NS_YELLOW,0,0.0,0,0.0,4,6.0,2,2.5
321,NS_YELLOW,0,0.0,0,0.0,4,6.0,3,3.5
322,NS_YELLOW,0,0.0,0,0.0,5,7.0,3,3.5
323,NS_YELLOW,1,2.0,0,0.0,6,10.0,3,3.5
324,EW_GREEN,1,2.0,0,0.0,5,9.0,2,2.0
325,EW_GREEN,1,2.0,0,0.0,5,9.0,1,1.0
326,EW_GREEN,2,3.0,0,0.0,4,6.0,0,0.0
327,EW_GREEN,3,4.5,0,0.0,3,5.0,0,0.0
328,EW_GREEN,3,4.5,0,0.0,3,5.0,0,0.0
329,EW_GREEN,3,4.5,0,0.0,2,2.0,0,0.0
330,EW_GREEN,4,5.5,0,0.0,1,1.0,0,0.0
331,EW_GREEN,4,5.5,0,0.0,0,0.0,0,0.0
332,EW_GREEN,5,6.5,0,0.0,0,0.0,0,0.0
333,EW_GREEN,5,6.5,0,0.0,0,0.0,0,0.0
334,EW_GREEN,6,7.5,0,0.0,0,0.0,0,0.0
335,EW_GREEN,6,7.5,0,0.0,0,0.0,0,0.0
336,EW_GREEN,7,8.5,0,0.0,0,0.0,0,0.0
337,EW_GREEN,7,8.5,0,0.0,0,0.0,0,0.0
338,EW_GREEN,7,8.5,2,2.0,0,0.0,0,0.0
339,EW_GREEN,7,8.5,3,3.0,0,0.0,0,0.0
340,EW_GREEN,7,8.5,4,4.0,0,0.0,0,0.0
341,EW_GREEN,7,8.5,4,4.0,0,0.0,0,0.0
342,EW_GREEN,7,8.5,5,5.0,0,0.0,0,0.0
343,EW_GREEN,8,9.5,5,5.0,0,0.0,0,0.0
344,EW_YELLOW,8,9.5,5,5.0,0,0.0,0,0.0
345,EW_YELLOW,8,9.5,6,6.0,0,0.0,0,0.0
346,EW_YELLOW,8,9.5,6,6.0,0,0.0,0,0.0
347,EW_YELLOW,8,9.5,7,7.0,0,0.0,0,0.0
348,NS_GREEN,7,7.5,7,9.0,0,0.0,0,0.0
349,NS_GREEN,6,6.5,6,8.0,0,0.0,0,0.0
350,NS_GREEN,6,6.0,6,8.0,0,0.0,0,0.0
351,NS_GREEN,5,5.0,5,7.0,0,0.0,1,1.0
352,NS_GREEN,4,4.0,4,6.0,1,1.0,2,3.0
353,NS_GREEN,4,4.0,3,5.0,1,1.0,2,3.0
354,NS_GREEN,3,3.0,2,4.0,1,1.0,2,3.0
355,NS_GREEN,2,2.0,1,1.0,1,1.0,3,4.0
356,NS_GREEN,1,1.0,0,0.0,1,1.0,3,4.0
357,NS_GREEN,0,0.0,0,0.0,1,1.0,3,4.0
358,NS_GREEN,0,0.0,0,0.0,1,1.0,3,4.0
359,NS_GREEN,0,0.0,0,0.0,1,1.0,3,4.0
360,NS_GREEN,0,0.0,0,0.0,1,1.0,4,6.0
361,NS_GREEN,0,0.0,0,0.0,1,1.0,4,6.0
362,NS_GREEN,0,0.0,0,0.0,1,1.0,4,6.0
363,NS_GREEN,0,0.0,0,0.0,1,1.0,4,6.0
364,NS_GREEN,0,0.0,0,0.0,2,2.0,5,7.0
365,NS_GREEN,0,0.0,0,0.0,2,2.0,5,7.0
366,NS_GREEN,0,0.0,0,0.0,3,4.0,5,7.0
367,NS_GREEN,0,0.0,0,0.0,3,4.0,5,7.0
368,NS_YELLOW,0,0.0,0,0.0,4,7.0,5,7.0
369,NS_YELLOW,0,0.0,0,0.0,4,7.0,5,7.0
370,NS_YELLOW,1,2.0,0,0.0,4,7.0,5,7.0
371,NS_YELLOW,1,2.0,0,0.0,4,7.0,5,7.0
372,EW_GREEN,1,2.0,0,0.0,3,6.0,4,6.0
373,EW_GREEN,1,2.0,0,0.0,2,5.0,3,4.0
374,EW_GREEN,2,3.0,1,1.0,1,3.0,2,3.0
375,EW_GREEN,2,3.0,1,1.0,0,0.0,1,1.0
376,EW_GREEN,3,4.0,1,1.0,0,0.0,0,0.0
377,EW_GREEN,3,4.0,1,1.0,0,0.0,0,0.0
378,EW_GREEN,5,6.0,3,6.0,0,0.0,0,0.0
379,EW_GREEN,5,6.0,4,7.0,0,0.0,0,0.0
380,EW_GREEN,6,7.0,5,8.0,0,0.0,0,0.0
381,EW_GREEN,6,7.0,6,9.0,0,0.0,0,0.0
382,EW_GREEN,6,7.0,6,9.0,0,0.0,0,0.0
383,EW_GREEN,6,7.0,6,9.0,0,0.0,0,0.0
384,EW_GREEN,6,7.0,6,9.0,0,0.0,0,0.0
385,EW_GREEN,6,7.0,6,9.0,0,0.0,0,0.0
386,EW_GREEN,6,7.0,6,9.0,0,0.0,0,0.0
387,EW_GREEN,6,7.0,6,9.0,0,0.0,0,0.0
388,EW_GREEN,7,10.0,7,10.0,0,0.0,0,0.0
389,EW_GREEN,7,10.0,8,11.0,0,0.0,0,0.0
390,EW_GREEN,7,10.0,8,11.0,0,0.0,0,0.0
391,EW_GREEN,8,11.0,8,11.0,0,0.0,0,0.0
392,EW_GREEN,8,11.0,8,11.0,0,0.0,0,0.0
393,EW_GREEN,8,11.0,8,11.0,0,0.0,0,0.0
394,EW_YELLOW,8,11.0,8,11.0,0,0.0,0,0.0
395,EW_YELLOW,8,11.0,9,12.5,0,0.0,0,0.0
396,EW_YELLOW,8,11.0,9,12.5,0,0.0,0,0.0
397,EW_YELLOW,8,11.0,10,14.5,0,0.0,0,0.0
398,NS_GREEN,7,9.0,9,13.5,0,0.0,0,0.0
399,NS_GREEN,6,8.0,8,10.5,1,1.0,0,0.0
400,NS_GREEN,5,7.0,7,8.5,1,1.0,0,0.0
401,NS_GREEN,4,6.0,6,7.5,1,1.0,0,0.0
402,NS_GREEN,3,5.0,5,6.5,2,2.0,0,0.0
403,NS_GREEN,3,5.0,4,5.5,2,2.0,0,0.0
404,NS_GREEN,2,2.0,3,4.5,2,2.0,0,0.0
405,NS_GREEN,1,1.0,2,3.5,2,2.0,0,0.0
406,NS_GREEN,2,3.0,1,2.0,2,2.0,0,0.0
407,NS_GREEN,2,2.0,1,1.0,2,2.0,1,2.0
408,NS_GREEN,1,1.0,0,0.0,2,2.0,1,2.0
409,NS_GREEN,0,0.0,1,1.0,2,2.0,1,2.0
410,NS_GREEN,0,0.0,1,1.0,3,3.0,1,2.0
411,NS_GREEN,0,0.0,0,0.0,3,3.0,1,2.0
412,NS_GREEN,0,0.0,0,0.0,3,3.0,1,2.0
413,NS_GREEN,0,0.0,0,0.0,3,3.0,1,2.0
414,NS_GREEN,0,0.0,0,0.0,3,3.0,1,2.0
415,NS_GREEN,0,0.0,0,0.0,5,5.0,1,2.0
416,NS_GREEN,0,0.0,0,0.0,6,6.0,1,2.0
417,NS_GREEN,0,0.0,0,0.0,6,6.0,1,2.0
418,NS_YELLOW,0,0.0,0,0.0,6,6.0,1,2.0
419,NS_YELLOW,0,0.0,0,0.0,6,6.0,1,2.0
420,NS_YELLOW,0,0.0,0,0.0,7,7.5,2,3.0
421,NS_YELLOW,0,0.0,1,1.0,7,7.5,2,3.0
422,EW_GREEN,0,0.0,1,1.0,6,6.5,1,1.0
423,EW_GREEN,0,0.0,2,2.5,5,5.5,0,0.0
424,EW_GREEN,0,0.0,2,2.5,5,5.5,0,0.0
425,EW_GREEN,0,0.0,2,2.5,4,4.5,0,0.0
426,EW_GREEN,0,0.0,2,2.5,3,3.5,0,0.0
427,EW_GREEN,1,2.0,2,2.5,3,4.5,0,0.0
428,EW_GREEN,1,2.0,2,2.5,2,3.0,0,0.0
429,EW_GREEN,1,2.0,2,2.5,1,2.0,0,0.0
430,EW_GREEN,2,3.0,2,2.5,0,0.0,0,0.0
431,EW_GREEN,2,3.0,3,4.0,0,0.0,0,0.0
432,EW_GREEN,2,3.0,3,4.0,0,0.0,0,0.0
433,EW_GREEN,2,3.0,3,4.0,0,0.0,0,0.0
434,EW_GREEN,2,3.0,3,4.0,0,0.0,0,0.0
435,EW_GREEN,2,3.0,3,4.0,0,0.0,0,0.0
436,EW_GREEN,3,4.0,3,4.0,0,0.0,0,0.0
437,EW_GREEN,5,6.5,3,4.0,0,0.0,0,0.0
438,EW_GREEN,5,6.5,3,4.0,0,0.0,0,0.0
439,EW_GREEN,6,7.5,3,4.0,0,0.0,0,0.0
440,EW_GREEN,6,7.5,3,4.0,0,0.0,0,0.0
441,EW_GREEN,6,7.5,3,4.0,0,0.0,0,0.0
442,EW_YELLOW,7,8.5,3,4.0,0,0.0,0,0.0
443,EW_YELLOW,7,8.5,4,5.0,0,0.0,0,0.0
444,EW_YELLOW,7,8.5,4,5.0,0,0.0,0,0.0
445,EW_YELLOW,7,8.5,4,5.0,0,0.0,0,0.0
446,NS_GREEN,6,6.5,4,5.0,0,0.0,0,0.0
447,NS_GREEN,5,5.5,3,3.5,0,0.0,0,0.0
448,NS_GREEN,4,4.5,2,2.0,0,0.0,0,0.0
449,NS_GREEN,3,3.0,1,1.0,0,0.0,0,0.0
450,NS_GREEN,2,2.0,0,0.0,0,0.0,0,0.0
451,NS_GREEN,1,1.0,0,0.0,1,1.0,0,0.0
452,NS_GREEN,0,0.0,0,0.0,1,1.0,1,2.0
453,NS_GREEN,0,0.0,0,0.0,1,1.0,1,2.0
454,NS_GREEN,0,0.0,0,0.0,1,1.0,2,3.0
455,NS_GREEN,0,0.0,0,0.0,1,1.0,3,4.0
456,NS_GREEN,1,1.0,0,0.0,1,1.0,3,4.0
457,NS_GREEN,1,1.5,0,0.0,1,1.0,3,4.0
458,NS_GREEN,0,0.0,0,0.0,1,1.0,3,4.0
459,NS_GREEN,0,0.0,0,0.0,1,1.0,3,4.0
460,NS_GREEN,0,0.0,0,0.0,1,1.0,3,4.0
461,NS_GREEN,0,0.0,0,0.0,1,1.0,3,4.0
462,NS_GREEN,0,0.0,0,0.0,2,2.0,3,4.0
463,NS_GREEN,0,0.0,0,0.0,2,2.0,3,4.0
464,NS_GREEN,0,0.0,0,0.0,2,2.0,3,4.0
465,NS_GREEN,0,0.0,0,0.0,2,2.0,3,4.0
466,NS_YELLOW,0,0.0,0,0.0,3,3.0,3,4.0
467,NS_YELLOW,0,0.0,0,0.0,3,3.0,3,4.0
468,NS_YELLOW,0,0.0,0,0.0,3,3.0,3,4.0
469,NS_YELLOW,2,2.0,0,0.0,3,3.0,4,7.0
470,EW_GREEN,3,3.0,0,0.0,3,3.0,3,5.0
471,EW_GREEN,4,4.0,1,2.0,2,2.0,2,4.0
472,EW_GREEN,5,5.5,1,2.0,1,1.0,1,3.0
473,EW_GREEN,5,5.5,2,3.5,0,0.0,0,0.0
474,EW_GREEN,5,5.5,2,3.5,0,0.0,0,0.0
475,EW_GREEN,5,5.5,2,3.5,0,0.0,0,0.0
476,EW_GREEN,5,5.5,2,3.5,0,0.0,0,0.0
477,EW_GREEN,5,5.5,2,3.5,0,0.0,0,0.0
478,EW_GREEN,5,5.5,2,3.5,0,0.0,0,0.0
479,EW_GREEN,6,7.0,3,4.5,0,0.0,0,0.0
